Date,Sac.cfs,SJR.cfs,Month,Year,Sub.group
1969-12-31T00:00:00Z,44471.13440757296,2810.342670065576,12,1969,himed
1970-01-31T00:00:00Z,76434.69937966761,17454.304096611537,1,1970,hihi
1970-02-28T00:00:00Z,63658.46801401679,10525.002957277466,2,1970,hihi
1970-03-31T00:00:00Z,30888.669530590683,7725.815536096604,3,1970,hihi
1970-04-30T00:00:00Z,14459.622304600842,6303.029382070772,4,1970,medhi
1970-05-31T00:00:00Z,10661.427522651938,4302.545484516382,5,1970,lohi
1970-06-30T00:00:00Z,15271.544896686308,2376.4860920098527,6,1970,medmed
1970-12-31T00:00:00Z,55911.79094579907,2075.4773268669246,12,1970,himed
1971-01-31T00:00:00Z,47519.23652186586,1811.9324303895955,1,1971,hilo
1971-02-28T00:00:00Z,25219.388786813855,1985.9128691598962,2,1971,himed
1971-03-31T00:00:00Z,41860.24064110407,2428.15866566117,3,1971,himed
1971-04-30T00:00:00Z,21604.970520885454,3389.646690951187,4,1971,medmed
1971-05-31T00:00:00Z,20397.38378336969,2788.7203815800062,5,1971,medmed
1971-06-30T00:00:00Z,12622.28496073218,1796.8653985710714,6,1971,lolo
1971-12-31T00:00:00Z,19042.146898398823,1638.8671501390395,12,1971,medlo
1972-01-31T00:00:00Z,16737.602089831496,1561.0263933634938,1,1972,medlo
1972-02-29T00:00:00Z,18366.461335635835,1748.4291986619428,2,1972,medlo
1972-03-31T00:00:00Z,23144.72287050163,1934.6001566997024,3,1972,medlo
1972-04-30T00:00:00Z,15179.512467965187,2301.6247931011994,4,1972,medmed
1972-05-31T00:00:00Z,11590.472650988771,1832.9013882580973,5,1972,lolo
1972-06-30T00:00:00Z,14124.51759094771,1255.170659983183,6,1972,medlo
1972-12-31T00:00:00Z,28573.177585663187,1693.1749290786752,12,1972,hilo
1973-01-31T00:00:00Z,63891.27821324851,2490.3413536991493,1,1973,himed
1973-02-28T00:00:00Z,70205.9388803629,5212.704545282243,2,1973,hihi
1973-03-31T00:00:00Z,50563.83223457282,4564.08173835388,3,1973,hihi
1973-04-30T00:00:00Z,14761.017060547865,7085.576445171278,4,1973,medhi
1973-05-31T00:00:00Z,11533.655456799392,4850.633247136914,5,1973,lohi
1973-06-30T00:00:00Z,14776.097262573781,2574.779838270118,6,1973,medmed
1973-12-31T00:00:00Z,64580.30417438759,5854.761354175486,12,1973,hihi
1974-01-31T00:00:00Z,73222.59713190103,8394.441051055566,1,1974,hihi
1974-02-28T00:00:00Z,43084.9123812311,5788.6750744088085,2,1974,hihi
1974-03-31T00:00:00Z,71034.68790334536,7853.932298823157,3,1974,hihi
1974-04-30T00:00:00Z,54581.27458665794,8127.564559434393,4,1974,hihi
1974-05-31T00:00:00Z,16819.417560269972,5704.937056993849,5,1974,medhi
1974-06-30T00:00:00Z,12234.563772279627,2757.5245241101698,6,1974,lomed
1974-12-31T00:00:00Z,14056.481218796574,2054.473403131314,12,1974,medmed
1975-01-31T00:00:00Z,11065.923753151777,2011.2584278498327,1,1975,lomed
1975-02-28T00:00:00Z,53287.32673227988,5453.97667355898,2,1975,hihi
1975-03-31T00:00:00Z,59059.04206277098,7210.047080094103,3,1975,hihi
1975-04-30T00:00:00Z,26350.66005969955,8016.901977834718,4,1975,hihi
1975-05-31T00:00:00Z,21895.25194256695,5224.896105374033,5,1975,medhi
1975-06-30T00:00:00Z,14507.705559411224,3198.5638777421887,6,1975,medmed
1975-12-31T00:00:00Z,11631.918178226995,1613.142649944794,12,1975,lolo
1976-01-31T00:00:00Z,9697.39160185329,1755.5949973382233,1,1976,lolo
1976-02-29T00:00:00Z,11531.679182522357,2165.1286113952237,2,1976,lomed
1976-03-31T00:00:00Z,12659.841611157377,2016.808388448951,3,1976,lomed
